Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,166,157,184,183,125
Cash & Due from Banks Growth,5.82%,014.82%,0.80%,46.73%,0
Investments 0 Total,4152,5192,3693,3434,3256
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,40,33,20
Federal Agency Securities,230,243,219,169,152
State & Municipal Securities,1270,1014,717,832,1014
Mortgage Backed Securities,2242,2711,1674,2129,1879
Other Securities,47,64,72,95,82
Other Investments,363,1160,971,176,109
Investments Growth,020.04%,40.60%,7.53%,5.47%,0
Net Loans,10585,9612,10603,10216,7607
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1579,1590,2407,1645,1265
Consumer & Installment Loans,226,277,309,375,326
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,8897,7866,8073,8248,6065
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(118),(122),(186),(52),(49)
Investment in Unconsolidated Subs.,3,10,6,7,7
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,0,1,4,7
Loans 0 1 Yr Growth Rate,10.12%,09.35%,3.80%,34.29%,0
Total Deposits FOR CALC PURPOSES,13131,13566,12429,11004,8832
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,221,229,249,261,167
Other Assets (Including Intangibles),1735,1667,1623,1572,1251
Other Assets,594,515,460,423,332
Intangible Assets,1141,1152,1163,1149,919
Deferred Charges,0,0,0,0,0
Interest Receivables,69,61,67,44,39
Total Assets,16932,16927,16426,15720,12459
Assets 0 Total Growth,0.03%,3.05%,4.49%,26.18%,0
Return On Average Assets,1.13%,0,0,0,0
