Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,19,25,20,16,28
Cash & Due from Banks Growth,023.91%,21.15%,30.59%,044.08%,0
Investments 0 Total,261,241,216,201,202
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,13,10,3,5,8
State & Municipal Securities,53,54,50,40,38
Mortgage Backed Securities,109,91,76,91,100
Other Securities,67,63,59,46,43
Other Investments,19,23,28,18,14
Investments Growth,8.36%,11.28%,7.93%,00.69%,0
Net Loans,980,973,961,873,854
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,153,134,151,174,158
Consumer & Installment Loans,13,15,16,18,18
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,824,818,746,691,687
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,(0),(1),(1),(0),(0)
Loan Loss Allowances (Reserves),(11),(12),(11),(9),(9)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,0.76%,1.24%,10.00%,2.32%,0
Total Deposits FOR CALC PURPOSES,"1,109","1,139","1,055",961,949
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",18,17,18,15,13
Other Assets (Including Intangibles),79,76,60,57,57
Other Assets,65,62,48,45,45
Intangible Assets,14,14,12,12,12
Deferred Charges,0,0,0,0,0
Interest Receivables,5,4,5,3,3
Total Assets,"1,364","1,336","1,285","1,172","1,161"
Assets 0 Total Growth,2.12%,3.90%,9.69%,0.94%,0
Return On Average Assets,0.55%,0,0,0,0
