Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,4283,12947,5095,1700,2811
Cash & Due from Banks Growth,066.92%,154.12%,199.77%,039.54%,0
Investments 0 Total,33576,25854,18986,18881,16649
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,165,100,50,368,1045
State & Municipal Securities,19486,16762,12726,11282,8196
Mortgage Backed Securities,10642,7442,5661,6756,6976
Other Securities,1426,1397,93,44,19
Other Investments,1857,153,456,432,414
Investments Growth,29.87%,36.17%,0.56%,13.41%,0
Net Loans,166084,134262,111931,90301,75426
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,18793,19185,16697,11647,10999
Consumer & Installment Loans,0,0,0,0,0
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,137317,106794,88419,72747,59756
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,10758,8977,7450,6403,5111
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,784,694,635,496,439
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,23.70%,19.95%,23.95%,19.72%,0
Total Deposits FOR CALC PURPOSES,176437,156321,114929,90133,79063
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,1923,1786,1355,1174,332
Other Assets Including Intangibles,5399,3956,3113,2334,2259
Other Assets,5181,3734,2885,2099,1985
Intangible Assets,218,222,228,235,274
Deferred Charges,0,0,0,0,0
Interest Receivables,708,501,431,382,334
Total Assets,213358,181714,142984,116661,99323
Assets 0 Total Growth,17.41%,27.09%,22.56%,17.46%,0
Return On Average Assets,0.84%,0,0,0,0
