Fiscal year is January0December. All values ARS Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,418491,227971,169530,128271,151198
Cash & Due from Banks Growth,83.57%,34.47%,32.17%,015.16%,0
Investments 0 Total,1290795,542329,246584,123694,94494
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,115082,202522,60996,30075,2068
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,115082,202522,60996,30075,2068
Treasury Securities,1155495,327065,174728,64841,74852
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,0,0,0,0,0
Mortgage Backed Securities,0,0,0,0,0
Other Securities,16890,11495,10313,27379,15788
Other Investments,3328,1247,548,1399,1786
Investments Growth,138.01%,119.94%,99.35%,30.90%,0
Net Loans,1231918,731149,513825,350168,289881
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,310595,194472,143769,75080,12
Consumer & Installment Loans,764314,433854,278297,177106,0
Interbank Loans,42706,22141,20581,13258,10802
Real Estate Mortgage Loans,19401,18420,16302,15053,0
Lease Financing Loans,3478,1114,1855,2226,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,152914,104190,87314,90167,279068
Unearned Income,5376,2399,2233,1292,0
Loan Loss Allowances Reserves,56114,40643,32060,21430,0
Investment in Unconsolidated Subs.,667,223,89,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1642,857,581,154,404
Loans 0 1 Yr Growth Rate,68.49%,42.30%,46.74%,20.80%,0
Total Deposits FOR CALC PURPOSES,2141276,1032591,674449,393455,359386
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,115821,62196,43731,14088,10885
Other Assets Including Intangibles,262223,81191,49685,25268,17516
Other Assets,223710,59960,35216,19761,13772
Intangible Assets,38513,21231,14469,5506,3744
Deferred Charges,6626,4219,2332,970,0
Interest Receivables,56336,31493,23650,15246,0
Total Assets,3385145,1681697,1057948,664125,565246
Assets 0 Total Growth,101.29%,58.96%,59.30%,17.49%,0
Return On Average Assets,2.03%,0,0,0,0
Total Deposits,2141276,1032591,674449,393455,359386
Demand Deposits,0,0,0,0,0
Savings/Time Deposits,0,0,0,0,0
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,2141276,1032591,674449,393455,359386
Deposits Growth,107.37%,53.10%,71.42%,9.48%,0
Total Debt,158524,86031,58871,71683,61858
ST Debt & Current Portion LT Debt,124793,58968,30644,46874,2660
Current Portion of Long Term Debt,1837,1329,0,0,0
Short Term Debt,122956,57639,30644,46874,2660
Long0Term Debt,33731,27063,28228,24809,59198
LT Debt excl. Capitalized Leases,27892,24010,23864,21040,59198
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,23764,11336,8919,2764,1449
Long Term Debt Growth,24.64%,04.13%,13.78%,058.09%,0
Total Assets FOR CALCULATION PURPOSES ONLY,3385145,1681697,1057948,664125,565246
Total Debt / Total Assets,4.68%,5.12%,5.56%,10.79%,10.94%
Deferred Tax Liabilities,654,91,10136,7178,482
Deferred Taxes 0 Credit,6598,4377,137,59,386
Deferred Taxes 0 Debit,7252,4286,10273,7237,868
Other Liabilities,445638,244796,135712,98748,85569
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,445638,244796,135712,98748,85569
Deferred Income,0,0,0,0,0
Total Liabilities,2775800,1379131,878088,566709,508647
Total Liabilities Growth,101.27%,57.06%,54.95%,11.41%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,609345,302566,179860,94635,54878
Common Stock Par/Carry Value,1475,1475,1475,1427,1427
Additional Paid0In Capital/Capital Surplus,234639,119738,78830,11229,11229
Retained Earnings,0,31779,144249,81496,41939
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,39,95,881,142,57
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,5374,1083,714,341,341
Unappropriated Reserves,367818,148587,44527,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.18%,0.18%,0.17%,0.14%,0.10%
Total Shareholders Equity,609345,302566,179860,94635,54878
Total Shareholders Equity / Total Assets,18.00%,17.99%,17.00%,14.25%,9.71%
Return On Average Total Equity,11.29%,0,0,0,0
Accumulated Minority Interest,0,0,0,2781,1721
Total Equity,609345,302566,179860,97417,56599
Liabilities & Shareholders Equity,3385145,1681697,1057948,664125,565246
