Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,53097,44838,47574,67004,61924
Cash & Due from Banks Growth,18.42%,-5.75%,-29.00%,8.20%,-
Investments - Total,2121132,2293452,2050638,1405073,1341170
Trading Account Securities,453799,433575,503126,411103,413714
Federal Funds Sold & Securities Purchased,500961,467769,456919,388915,433583
Federal Funds Sold,315592,261698,296284,11,84
Securities Bought Under Resale Agreement,185369,206071,160635,388904,433499
Treasury Securities,299523,362667,255135,139487,56059
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,26533,29845,33147,34607,42547
Mortgage Backed Securities,212437,197164,241226,164818,110430
Other Securities,96765,86198,62859,61768,55233
Other Investments,531114,716234,498226,204375,229604
Investments Growth,-7.51%,11.84%,45.95%,4.76%,-
Net Loans,1111951,1052640,976652,939582,959121
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,527746,490960,443128,349792,342225
Consumer & Installment Loans,258371,251520,235404,264926,255237
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,345560,326546,326448,337987,375104
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,19726,16386,28328,13123,13445
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,203,213,256,344,269
Loans - 1 Yr Growth Rate,5.63%,7.78%,3.95%,-2.04%,-
Total Deposits FOR CALC PURPOSES,2340179,2462303,2144257,1562431,1470666
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,35516,34958,35115,34003,14934
Other Assets Including Intangibles,218655,214896,184019,168512,171914
Other Assets,165769,163699,133990,119870,123695
Intangible Assets,52886,51197,50029,48642,48219
Deferred Charges,-,-,-,-,-
Interest Receivables,125189,102570,90503,72861,73200
Total Assets,3665743,3743567,3384757,2687379,2622532
Assets - Total Growth,-2.08%,10.60%,25.95%,2.47%,-
Return On Average Assets,1.01%,-,-,-,-
