Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,20,20,18,21,14
Cash & Due from Banks Growth,-0.42%,10.99%,-16.11%,49.58%,-
Investments - Total,546,711,585,429,363
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,59,-,-,-,-
Federal Agency Securities,130,68,48,21,17
State & Municipal Securities,121,93,103,82,92
Mortgage Backed Securities,180,190,124,87,105
Other Securities,23,22,12,-,-
Other Investments,33,338,299,239,149
Investments Growth,-23.22%,21.43%,36.52%,17.99%,-
Net Loans,1595,1370,1313,1082,1028
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,783,718,700,501,456
Consumer & Installment Loans,9,8,11,14,15
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,369,316,329,288,295
Lease Financing Loans,475,368,312,313,296
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,41,40,39,33,34
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,0,1,1,1,0
Loans - 1 Yr Growth Rate,16.45%,4.31%,21.34%,5.27%,-
Total Deposits FOR CALC PURPOSES,2004,1915,1752,1291,1182
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,52,54,53,35,37
Other Assets Including Intangibles,88,89,94,56,59
Other Assets,61,62,67,55,43
Intangible Assets,27,27,27,1,16
Deferred Charges,-,-,-,-,-
Interest Receivables,9,7,8,7,7
Total Assets,2339,2271,2094,1663,1526
Assets - Total Growth,2.99%,8.46%,25.95%,8.96%,-
Return On Average Assets,1.26%,-,-,-,-
Total Deposits,2004,1915,1752,1291,1182
Demand Deposits,605,582,502,297,271
Savings/Time Deposits,1399,1333,1250,994,910
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,4.66%,9.27%,35.70%,9.27%,-
Total Debt,95,94,79,164,160
ST Debt & Current Portion LT Debt,38,36,22,25,22
Current Portion of Long Term Debt,0,0,-,8,7
Short Term Debt,37,36,22,18,15
Long-Term Debt,57,58,57,139,138
LT Debt excl. Capitalized Leases,53,49,49,137,138
Capitalized Lease Obligations,3,6,6,-,-
Provision for Risks & Charges,-,-,-,-,-
Long Term Debt Growth,-0.82%,1.49%,-58.89%,0.70%,-
Total Assets FOR CALCULATION PURPOSES ONLY,2339,2271,2094,1663,1526
Total Debt / Total Assets,4.06%,4.13%,3.76%,9.86%,10.46%
Deferred Tax Liabilities,22,14,14,11,12
Deferred Taxes - Credit,7,7,8,5,5
Deferred Taxes - Debit,29,20,21,17,17
Other Liabilities,37,45,61,37,28
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,37,45,61,37,28
Deferred Income,-,-,-,-,-
Total Liabilities,2143,2060,1900,1497,1374
Total Liabilities Growth,4.02%,8.46%,26.86%,8.98%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,196,210,194,165,152
Common Stock Par/Carry Value,3,3,4,3,3
Additional Paid-In Capital/Capital Surplus,12,15,21,10,13
Retained Earnings,217,194,171,154,141
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,35,0,4,2,1
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,2,3,6,4,3
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.08%,0.09%,0.09%,0.10%,0.10%
Total Shareholders Equity,196,210,194,165,152
Total Shareholders Equity / Total Assets,8.36%,9.26%,9.25%,9.91%,9.96%
Return On Average Total Equity,14.37%,-,-,-,-
Accumulated Minority Interest,1,1,1,0,-
Total Equity,196,211,194,165,152
Liabilities & Shareholders Equity,2339,2271,2094,1663,1526
