Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,234,181,174,162,214
Cash & Due from Banks Growth,29.32%,4.08%,7.26%,-24.45%,-
Investments - Total,8414,11396,12616,7129,4977
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,30,50
Federal Funds Sold,-,-,-,30,50
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,671,121,124,-,-
Federal Agency Securities,102,12,11,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,2767,3225,2829,5,7
Other Securities,46,226,233,235,113
Other Investments,4828,7812,9419,6860,4807
Investments Growth,-26.17%,-9.67%,76.95%,43.24%,-
Net Loans,19034,22595,24176,24451,22377
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,10062,10619,9628,10559,10373
Consumer & Installment Loans,-,-,-,-,63
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,9289,12253,14874,14178,11928
Lease Financing Loans,-,-,-,-,312
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,90,108
Unearned Income,64,65,71,-,-
Loan Loss Allowances Reserves,253,212,255,195,192
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,-,-,-,-,0
Loans - 1 Yr Growth Rate,-15.76%,-6.54%,-1.12%,9.27%,-
Total Deposits FOR CALC PURPOSES,22857,28109,30997,26479,20606
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,109,76,92,111,24
Other Assets Including Intangibles,335,461,577,608,632
Other Assets,333,444,560,590,613
Intangible Assets,1,17,18,18,19
Deferred Charges,-,-,-,-,-
Interest Receivables,107,57,63,65,-
Total Assets,28460,34772,37799,32615,28289
Assets - Total Growth,-18.15%,-8.01%,15.89%,15.29%,-
Return On Average Assets,1.05%,-,-,-,-
Total Deposits,22857,28109,30997,26479,20606
Demand Deposits,9618,13390,12741,9438,7317
Savings/Time Deposits,12555,11881,13859,13389,10237
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,684,2838,4396,3651,3052
Deposits Growth,-18.69%,-9.31%,17.06%,28.50%,-
Total Debt,2236,3201,3590,3033,4936
ST Debt & Current Portion LT Debt,1211,2220,3129,2542,4541
Current Portion of Long Term Debt,-,-,-,-,-
Short Term Debt,1211,2220,3129,2542,4541
Long-Term Debt,1025,981,461,491,395
LT Debt excl. Capitalized Leases,931,929,396,396,395
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,22,17,17,9,11
Long Term Debt Growth,4.55%,112.65%,-6.15%,24.36%,-
Total Assets FOR CALCULATION PURPOSES ONLY,28460,34772,37799,32615,28289
Total Debt / Total Assets,7.86%,9.21%,9.50%,9.30%,17.45%
Deferred Tax Liabilities,182,66,29,21,34
Deferred Taxes - Credit,45,40,73,67,31
Deferred Taxes - Debit,228,106,103,88,65
Other Liabilities,244,195,251,226,203
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,244,195,251,226,203
Deferred Income,-,-,-,-,-
Total Liabilities,25404,31562,34928,29814,25789
Total Liabilities Growth,-19.51%,-9.64%,17.15%,15.61%,-
Preferred Stock Carrying Value,300,300,150,150,150
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,300,300,150,150,150
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,2755,2910,2721,2651,2350
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid-In Capital/Capital Surplus,1026,1009,992,978,968
Retained Earnings,2264,1948,1713,1664,1381
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,304,48,16,9,1
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,115,-,-,-,-
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,115,0,0,0,0
Common Equity / Total Assets,0.10%,0.08%,0.07%,0.08%,0.08%
Total Shareholders Equity,3055,3210,2871,2801,2500
Total Shareholders Equity / Total Assets,10.74%,9.23%,7.60%,8.59%,8.84%
Return On Average Total Equity,10.61%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,3055,3210,2871,2801,2500
Liabilities & Shareholders Equity,28460,34772,37799,32615,28289
