Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,52,29,36,34,41
Cash & Due from Banks Growth,76.63%,019.54%,7.21%,018.39%,0
Investments 0 Total,435,496,315,283,231
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,129,33,44
Federal Funds Sold,0,0,129,33,44
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,182,50,0,34,29
Federal Agency Securities,22,27,19,12,0
State & Municipal Securities,88,93,79,65,64
Mortgage Backed Securities,37,27,44,52,51
Other Securities,21,23,30,63,16
Other Investments,85,277,15,25,26
Investments Growth,012.37%,57.30%,11.29%,22.93%,0
Net Loans,2871,2215,2174,1725,1416
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,511,389,485,313,304
Consumer & Installment Loans,45,32,30,29,27
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2339,1816,1679,1394,1098
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,1,2,3,1,1
Loan Loss Allowances Reserves,23,20,18,11,12
Investment in Unconsolidated Subs.,44,43,42,40,25
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,3,0,2,7,4
Loans 0 1 Yr Growth Rate,29.62%,1.90%,26.02%,21.80%,0
Total Deposits FOR CALC PURPOSES,3060,2528,2321,1843,1557
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,56,49,43,35,24
Other Assets Including Intangibles,195,105,105,86,51
Other Assets,68,45,44,37,34
Intangible Assets,127,59,61,49,17
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,3669,2944,2724,2215,1798
Assets 0 Total Growth,24.63%,8.08%,22.94%,23.23%,0
Return On Average Assets,1.36%,0,0,0,0
Total Deposits,3060,2528,2321,1843,1557
Demand Deposits,1279,1087,939,661,541
Savings/Time Deposits,1775,1430,1362,1166,999
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,7,12,19,16,18
Deposits Growth,21.03%,8.94%,25.91%,18.38%,0
Total Debt,124,68,79,116,47
ST Debt & Current Portion LT Debt,99,48,57,46,32
Current Portion of Long Term Debt,1,7,20,0,0
Short Term Debt,97,41,36,46,31
Long0Term Debt,26,20,22,70,15
LT Debt excl. Capitalized Leases,24,19,21,68,12
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,0,0,0,3,9
Long Term Debt Growth,26.61%,09.15%,068.30%,352.40%,0
Total Assets FOR CALCULATION PURPOSES ONLY,3669,2944,2724,2215,1798
Total Debt / Total Assets,3.39%,2.32%,2.90%,5.24%,2.62%
Deferred Tax Liabilities,5,2,2,1,1
Deferred Taxes 0 Credit,8,8,8,6,5
Deferred Taxes 0 Debit,13,6,6,5,5
Other Liabilities,23,17,21,16,6
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,23,17,21,16,6
Deferred Income,0,0,0,0,0
Total Liabilities,3216,2621,2429,1985,1623
Total Liabilities Growth,22.69%,7.92%,22.34%,22.28%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,453,323,295,230,174
Common Stock Par/Carry Value,0,0,0,0,0
Additional Paid0In Capital/Capital Surplus,218,93,93,63,28
Retained Earnings,295,258,221,189,168
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,0,0,0,0,0
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,16,4,6,2,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,45,32,25,25,21
Common Equity / Total Assets,0.12%,0.11%,0.11%,0.10%,0.10%
Total Shareholders Equity,453,323,295,230,174
Total Shareholders Equity / Total Assets,12.35%,10.96%,10.83%,10.39%,9.70%
Return On Average Total Equity,11.57%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,453,323,295,230,174
Liabilities & Shareholders Equity,3669,2944,2724,2215,1798
