Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,106,57,94,79,98
Cash & Due from Banks Growth,86.74%,-39.21%,19.13%,-19.38%,-
Investments - Total,2449,5518,3023,1322,1182
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,2,58,2,100,224
Federal Funds Sold,2,58,2,100,224
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,510,9,14,49,77
Federal Agency Securities,0,6,15,18,-
State & Municipal Securities,22,485,38,58,106
Mortgage Backed Securities,769,425,495,474,304
Other Securities,379,381,324,160,103
Other Investments,768,4154,2135,462,368
Investments Growth,-55.63%,82.52%,128.61%,11.91%,-
Net Loans,11542,9416,8378,7185,6465
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,3145,2984,3296,2696,2513
Consumer & Installment Loans,66,67,65,65,64
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,8047,6482,5105,4500,3956
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,146,117,88,77,69
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,0,1,6,8,5
Loans - 1 Yr Growth Rate,22.57%,12.40%,16.60%,11.14%,-
Total Deposits FOR CALC PURPOSES,11547,12453,9976,7530,6916
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,79,78,65,70,58
Other Assets Including Intangibles,311,305,298,232,149
Other Assets,298,292,284,218,135
Intangible Assets,14,14,14,14,14
Deferred Charges,-,-,-,-,-
Interest Receivables,48,35,37,26,24
Total Assets,14608,15463,11945,8954,8012
Assets - Total Growth,-5.53%,29.45%,33.41%,11.76%,-
Return On Average Assets,1.67%,-,-,-,-
Total Deposits,11547,12453,9976,7530,6916
Demand Deposits,10546,11508,9066,6736,6182
Savings/Time Deposits,951,895,860,794,733
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,50,50,50,-,-
Deposits Growth,-7.28%,24.83%,32.47%,8.89%,-
Total Debt,1703,1795,930,549,353
ST Debt & Current Portion LT Debt,1623,1716,855,474,289
Current Portion of Long Term Debt,-,-,-,-,-
Short Term Debt,1623,1716,855,474,289
Long-Term Debt,80,79,75,75,65
LT Debt excl. Capitalized Leases,65,65,65,65,65
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,-,-,-,-,-
Long Term Debt Growth,1.12%,5.01%,0.46%,16.05%,-
Total Assets FOR CALCULATION PURPOSES ONLY,14608,15463,11945,8954,8012
Total Debt / Total Assets,11.66%,11.61%,7.79%,6.13%,4.41%
Deferred Tax Liabilities,60,38,31,26,27
Deferred Taxes - Credit,13,14,13,6,4
Deferred Taxes - Debit,73,52,44,32,32
Other Liabilities,48,49,34,26,23
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,48,49,34,26,23
Deferred Income,-,-,-,-,-
Total Liabilities,13310,14311,10952,8111,7296
Total Liabilities Growth,-6.99%,30.67%,35.03%,11.17%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,1297,1152,992,842,715
Common Stock Par/Carry Value,0,0,0,0,0
Additional Paid-In Capital/Capital Surplus,230,226,224,220,219
Retained Earnings,1110,911,748,617,501
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,42,14,20,6,5
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,-,-,-,-,-
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.09%,0.07%,0.08%,0.09%,0.09%
Total Shareholders Equity,1297,1152,992,842,715
Total Shareholders Equity / Total Assets,8.88%,7.45%,8.31%,9.41%,8.92%
Return On Average Total Equity,20.54%,-,-,-,-
Accumulated Minority Interest,1,1,1,1,1
Total Equity,1298,1152,993,843,715
Liabilities & Shareholders Equity,14608,15463,11945,8954,8012
