Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,535,527,592,536,516
Cash & Due from Banks Growth,1.45%,-10.94%,10.42%,3.86%,-
Investments - Total,13923,17531,11826,7382,6770
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,792,2354,1460,860,1035
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,792,2354,1460,860,1035
Treasury Securities,1357,1033,51,176,565
Federal Agency Securities,1461,1302,814,581,217
State & Municipal Securities,447,523,396,102,1391
Mortgage Backed Securities,4599,5536,3344,1742,82
Other Securities,1173,1572,939,715,487
Other Investments,4094,5212,4822,3205,2993
Investments Growth,-20.58%,48.23%,60.20%,9.05%,-
Net Loans,47607,41152,37771,34420,32074
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,15711,14151,13632,12151,12057
Consumer & Installment Loans,76,128,163,283,331
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,32415,27416,24596,22345,19997
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,596,542,620,358,311
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,0,10,20,0,0
Loans - 1 Yr Growth Rate,15.68%,8.95%,9.73%,7.32%,-
Total Deposits FOR CALC PURPOSES,55968,53351,44863,37324,35440
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,193,196,199,218,119
Other Assets Including Intangibles,1591,1076,955,927,883
Other Assets,1125,607,483,451,402
Intangible Assets,466,469,472,476,480
Deferred Charges,-,-,-,-,-
Interest Receivables,263,160,150,145,146
Total Assets,64112,60947,52261,44288,41113
Assets - Total Growth,5.19%,16.62%,18.00%,7.72%,-
Return On Average Assets,1.80%,-,-,-,-
Total Deposits,55968,53351,44863,37324,35440
Demand Deposits,39988,42500,33181,24993,24224
Savings/Time Deposits,15980,10850,11682,12332,11215
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,4.91%,18.92%,20.20%,5.32%,-
Total Debt,564,807,1228,1235,581
ST Debt & Current Portion LT Debt,300,254,458,159,140
Current Portion of Long Term Debt,-,249,406,101,82
Short Term Debt,300,4,52,58,58
Long-Term Debt,264,553,770,1076,441
LT Debt excl. Capitalized Leases,152,448,695,993,441
Capitalized Lease Obligations,-,4,3,4,-
Provision for Risks & Charges,479,512,399,399,335
Long Term Debt Growth,-52.21%,-28.21%,-28.37%,143.85%,-
Total Assets FOR CALCULATION PURPOSES ONLY,64112,60947,52261,44288,41113
Total Debt / Total Assets,0.88%,1.32%,2.35%,2.79%,1.41%
Deferred Tax Liabilities,-,218,164,106,118
Deferred Taxes - Credit,-,77,104,92,70
Deferred Taxes - Debit,-,295,268,199,188
Other Liabilities,1117,364,398,221,264
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,1117,364,398,221,264
Deferred Income,-,-,-,-,-
Total Liabilities,58128,55110,46992,39271,36689
Total Liabilities Growth,5.48%,17.28%,19.66%,7.04%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,5985,5837,5269,5018,4424
Common Stock Par/Carry Value,0,0,0,0,0
Additional Paid-In Capital/Capital Surplus,1936,1894,1858,1826,1790
Retained Earnings,5583,4684,4000,3689,3160
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,21,5,7,16,12
Unrealized Gain/Loss Marketable Securities,695,86,52,2,46
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,50,0,1,-,-
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,769,650,634,480,468
Common Equity / Total Assets,0.09%,0.10%,0.10%,0.11%,0.11%
Total Shareholders Equity,5985,5837,5269,5018,4424
Total Shareholders Equity / Total Assets,9.33%,9.58%,10.08%,11.33%,10.76%
Return On Average Total Equity,19.08%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,5985,5837,5269,5018,4424
Liabilities & Shareholders Equity,64112,60947,52261,44288,41113
