Fiscal year is January-December. All values USD Thousands.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,8279.0,7653.0,11637.0,5697.0,15573.0
Cash & Due from Banks Growth,8.18%,-34.24%,104.27%,-63.42%,-
Investments - Total,241924.0,225363.0,202199.0,202085.0,137914.0
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,39528.0,44750.0
Federal Agency Securities,44032.0,-,10053.0,-,-
State & Municipal Securities,145498.0,117548.0,143509.0,144725.0,79241.0
Mortgage Backed Securities,-,-,-,-,-
Other Securities,28094.0,28765.0,4505.0,4532.0,-
Other Investments,24300.0,79050.0,44132.0,13300.0,13923.0
Investments Growth,7.35%,11.46%,0.06%,46.53%,-
Net Loans,458823.0,450699.0,438378.0,439317.0,407640.0
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,90548.0,90892.0,103277.0,99995.0,93690.0
Consumer & Installment Loans,6003.0,6571.0,8258.0,9697.0,13765.0
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,364324.0,356909.0,331956.0,331856.0,302228.0
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,2052.0,3673.0,5113.0,2231.0,2043.0
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,3519.0,415.0,721.0,819.0,91.0
Loans - 1 Yr Growth Rate,1.80%,2.81%,-0.21%,7.77%,-
Total Deposits FOR CALC PURPOSES,649913.0,605136.0,579535.0,548069.0,525443.0
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,12144.0,12757.0,13743.0,12528.0,12117.0
Other Assets Including Intangibles,26885.0,25224.0,23823.0,22563.0,18080.0
Other Assets,25793.0,23982.0,22431.0,21021.0,16388.0
Intangible Assets,1092.0,1242.0,1392.0,1542.0,1692.0
Deferred Charges,-,-,-,-,-
Interest Receivables,3403.0,2345.0,2901.0,2697.0,1798.0
Total Assets,758543.0,725992.0,695208.0,686685.0,594384.0
Assets - Total Growth,4.48%,4.43%,1.24%,15.53%,-
Return On Average Assets,1.11%,-,-,-,-
Total Deposits,649913.0,605136.0,579535.0,548069.0,525443.0
Demand Deposits,402341.0,408296.0,376287.0,334380.0,309505.0
Savings/Time Deposits,247572.0,196840.0,203248.0,213689.0,215938.0
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,7.40%,4.42%,5.74%,4.31%,-
Total Debt,41832.0,39366.0,36309.0,70384.0,12298.0
ST Debt & Current Portion LT Debt,18106.0,15701.0,12705.0,6915.0,8114.0
Current Portion of Long Term Debt,-,-,-,-,46.0
Short Term Debt,18106.4,15701.0,12705.0,6915.0,8068.0
Long-Term Debt,23726.0,23665.0,23604.0,63469.0,4184.0
LT Debt excl. Capitalized Leases,23726.0,23665.0,23604.0,63343.0,4184.0
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,-,-,-,-,-
Long Term Debt Growth,0.26%,0.26%,-62.81%,1416.95%,-
