Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,73,110,147,49,22
Cash & Due from Banks Growth,033.78%,025.12%,202.34%,118.65%,0
Investments 0 Total,364,350,307,233,242
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,37,0,0,0,0
Federal Agency Securities,77,67,76,56,45
State & Municipal Securities,33,33,31,31,32
Mortgage Backed Securities,197,226,174,124,140
Other Securities,17,17,13,14,15
Other Investments,3,7,12,8,11
Investments Growth,4.04%,13.96%,31.72%,03.71%,0
Net Loans,1265,1137,1150,1039,997
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,245,181,267,122,111
Consumer & Installment Loans,60,66,36,36,34
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,974,907,865,894,862
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,2,1,0
Loan Loss Allowances Reserves,15,16,16,13,11
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,5,4,9,4,7
Loans 0 1 Yr Growth Rate,11.19%,01.06%,10.66%,4.24%,0
Total Deposits FOR CALC PURPOSES,1571,1469,1422,1142,1068
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,37,37,39,41,38
Other Assets Including Intangibles,88,79,67,64,67
Other Assets,76,67,56,53,56
Intangible Assets,12,12,11,11,11
Deferred Charges,8,5,0,0,0
Interest Receivables,6,5,6,4,4
Total Assets,1855,1736,1738,1447,1388
Assets 0 Total Growth,6.86%,00.14%,20.14%,4.20%,0
Return On Average Assets,1.40%,0,0,0,0
