Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,944,712,799,736,742
Cash & Due from Banks Growth,32.55%,010.85%,8.55%,00.80%,0
Investments 0 Total,"20,481","26,047","19,620","14,676","12,386"
Trading Account Securities,"4,464","9,137","4,708","1,624","1,957"
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,1,1,1,2,0
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,795,712,397,96,140
Mortgage Backed Securities,"13,199","12,655","12,891","11,276","8,831"
Other Securities,13,0,7,190,241
Other Investments,"2,010","3,542","1,616","1,489","1,216"
Investments Growth,021.37%,32.76%,33.68%,18.49%,0
Net Loans,"22,321","19,949","22,619","21,540","21,449"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"14,212","12,783","14,760","14,032","13,636"
Consumer & Installment Loans,"1,601","1,515","1,277","1,201","1,026"
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"6,744","5,908","6,970","6,518","6,995"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(236),(256),(389),(211),(207)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,14,25,91,20,17
Loans 0 1 Yr Growth Rate,11.89%,011.80%,5.01%,0.42%,0
Total Deposits FOR CALC PURPOSES,"34,481","41,242","36,144","27,621","25,264"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",565,574,551,356,330
Other Assets (Including Intangibles),"3,464","2,942","2,877","3,565","2,813"
Other Assets,"2,344","1,806","1,715","2,392","1,629"
Intangible Assets,"1,121","1,137","1,162","1,173","1,184"
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,"47,791","50,249","46,671","42,172","38,021"
Assets 0 Total Growth,04.89%,7.67%,10.67%,10.92%,0
Return On Average Assets,1.05%,0,0,0,0
