Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,123,167,193,177,139
Cash & Due from Banks Growth,-26.65%,-13.35%,8.86%,27.26%,-
Investments - Total,4530,5080,3646,2780,1711
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,2,1,-,-,-
Federal Agency Securities,494,467,34,54,36
State & Municipal Securities,2469,2634,1878,1254,804
Mortgage Backed Securities,1284,1417,1230,1286,791
Other Securities,14,6,6,2,1
Other Investments,267,555,499,184,78
Investments Growth,-10.81%,39.31%,31.16%,62.48%,-
Net Loans,11781,9046,9113,8379,7144
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,4612,3768,3707,2779,2251
Consumer & Installment Loans,175,146,129,136,100
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,7217,5328,5407,5572,4872
Lease Financing Loans,-,-,-,-,2
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,223,195,131,80,81
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,6,1,1,8,2
Loans - 1 Yr Growth Rate,30.22%,-0.72%,8.75%,17.29%,-
Total Deposits FOR CALC PURPOSES,14383,12733,11362,9840,7755
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,141,123,129,134,93
Other Assets Including Intangibles,1273,979,931,931,754
Other Assets,525,408,359,352,284
Intangible Assets,748,571,573,579,470
Deferred Charges,-,-,-,-,-
Interest Receivables,85,57,54,49,41
Total Assets,17938,15453,14067,12457,9885
Assets - Total Growth,16.08%,9.85%,12.92%,26.03%,-
Return On Average Assets,1.33%,-,-,-,-
Total Deposits,14383,12733,11362,9840,7755
Demand Deposits,8449,7704,6821,5251,3985
Savings/Time Deposits,5868,4998,4467,4375,3523
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,66,30,73,215,246
Deposits Growth,12.96%,12.07%,15.46%,26.89%,-
Total Debt,1339,654,705,754,700
ST Debt & Current Portion LT Debt,804,374,236,288,335
Current Portion of Long Term Debt,461,190,55,41,114
Short Term Debt,342,184,181,246,221
Long-Term Debt,536,280,469,466,365
LT Debt excl. Capitalized Leases,514,262,453,448,340
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,23,21,-,-,-
Long Term Debt Growth,91.23%,-40.30%,0.61%,27.82%,-
Total Assets FOR CALCULATION PURPOSES ONLY,17938,15453,14067,12457,9885
Total Debt / Total Assets,7.47%,4.23%,5.01%,6.05%,7.08%
Deferred Tax Liabilities,-,-,-,-,-
Deferred Taxes - Credit,-,-,-,-,-
Deferred Taxes - Debit,-,-,-,-,-
Other Liabilities,158,134,125,77,22
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,158,134,125,77,22
Deferred Income,-,-,-,-,-
Total Liabilities,15904,13541,12192,10671,8476
Total Liabilities Growth,17.45%,11.07%,14.25%,25.89%,-
Preferred Stock Carrying Value,25,0,0,0,0
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,25,0,0,0,0
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,2010,1912,1876,1786,1427
Common Stock Par/Carry Value,7,7,7,7,6
Additional Paid-In Capital/Capital Surplus,1229,986,1005,1055,840
Retained Earnings,1013,865,789,697,583
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,234,60,88,39,9
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,5,5,13,11,12
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.11%,0.12%,0.13%,0.14%,0.14%
Total Shareholders Equity,2035,1913,1876,1786,1427
Total Shareholders Equity / Total Assets,11.34%,12.38%,13.33%,14.34%,14.43%
Return On Average Total Equity,11.25%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,2035,1913,1876,1786,1427
Liabilities & Shareholders Equity,17938,15453,14067,12457,9885
