Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,81,52,74,69,192
Cash & Due from Banks Growth,56.26%,030.39%,8.53%,064.32%,0
Investments 0 Total,"1,379","2,051",935,657,627
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,3,1,0,0,1
Federal Agency Securities,127,143,36,0,4
State & Municipal Securities,621,767,382,283,217
Mortgage Backed Securities,563,487,316,325,364
Other Securities,0,0,0,0,0
Other Investments,65,653,200,49,42
Investments Growth,032.76%,119.31%,42.29%,4.80%,0
Net Loans,"4,638","4,220","4,588","4,015","3,866"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"2,039","1,909","2,315","1,919","1,872"
Consumer & Installment Loans,88,83,104,99,86
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"2,587","2,300","2,239","2,050","1,959"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,(3),(3),(8),(2),(2)
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(73),(68),(61),(51),(48)
Investment in Unconsolidated Subs.,12,9,9,7,7
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,9.90%,08.01%,14.26%,3.85%,0
Total Deposits FOR CALC PURPOSES,"5,461","5,735","5,037","4,134","4,044"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",60,64,64,65,58
Other Assets (Including Intangibles),234,143,141,118,109
Other Assets,229,138,136,113,104
Intangible Assets,5,5,5,5,5
Deferred Charges,0,0,0,0,0
Interest Receivables,28,18,19,15,16
Total Assets,"6,432","6,557","5,830","4,947","4,875"
Assets 0 Total Growth,01.91%,12.47%,17.86%,1.47%,0
Return On Average Assets,1.60%,0,0,0,0
