Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,84,43,65,67,44
Cash & Due from Banks Growth,95.56%,034.00%,03.12%,53.41%,0
Investments 0 Total,2329,2478,1759,815,627
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,7,0,0,0,5
State & Municipal Securities,824,766,628,257,253
Mortgage Backed Securities,744,870,660,336,250
Other Securities,708,653,369,192,101
Other Investments,46,190,102,29,17
Investments Growth,06.02%,40.85%,115.91%,29.91%,0
Net Loans,3791,3196,3427,3422,2369
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1170,1006,1172,976,630
Consumer & Installment Loans,76,68,79,83,39
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2594,2171,2231,2393,1729
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,14,7,15,18,6
Loan Loss Allowances Reserves,49,49,56,29,29
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,2,4,1
Loans 0 1 Yr Growth Rate,18.62%,06.72%,0.13%,44.43%,0
Total Deposits FOR CALC PURPOSES,5469,5115,4547,3729,2613
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,90,86,90,95,76
Other Assets Including Intangibles,218,187,187,228,152
Other Assets,125,105,100,104,77
Intangible Assets,93,82,88,124,75
Deferred Charges,0,0,0,0,0
Interest Receivables,27,20,22,19,15
Total Assets,6578,6025,5557,4654,3291
Assets 0 Total Growth,9.17%,8.43%,19.41%,41.38%,0
Return On Average Assets,0.97%,0,0,0,0
