Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,887,913,"1,091",732,678
Cash & Due from Banks Growth,02.85%,016.32%,49.04%,7.96%,0
Investments 0 Total,"54,383","67,343","55,459","36,334","36,114"
Trading Account Securities,829,701,735,"1,040",849
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,"9,415","9,472","1,000",334,147
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,0,0,0,4,7
Mortgage Backed Securities,"36,991","40,930","34,104","31,535","30,761"
Other Securities,"1,421","2,501",47,37,32
Other Investments,"5,727","13,739","19,573","3,384","4,318"
Investments Growth,019.24%,21.43%,52.64%,0.61%,0
Net Loans,"118,057","100,793","99,559","93,746","88,669"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"59,647","50,525","52,907","48,295","45,753"
Consumer & Installment Loans,"7,577","6,795","10,547","9,317","6,587"
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"48,234","40,463","33,332","32,346","32,606"
Lease Financing Loans,"3,936","4,071","4,399","4,688","4,606"
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),"(1,337)","(1,061)","(1,626)",(900),(883)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,13,8,100,35,35
Loans 0 1 Yr Growth Rate,17.13%,1.24%,6.20%,5.73%,0
Total Deposits FOR CALC PURPOSES,"142,595","152,572","135,282","111,870","107,309"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment","1,161","1,276","1,383","1,468","1,875"
Other Assets (Including Intangibles),"12,873","13,621","11,882","12,068","11,354"
Other Assets,"10,027","10,798","9,030","9,151","8,522"
Intangible Assets,"2,846","2,823","2,852","2,917","2,832"
Deferred Charges,0,0,0,0,0
Interest Receivables,417,198,241,0,0
Total Assets,"189,813","187,257","171,500","144,988","140,305"
Assets 0 Total Growth,1.36%,9.19%,18.29%,3.34%,0
Return On Average Assets,1.01%,0,0,0,0
