Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,62,54,64,66,39
Cash & Due from Banks Growth,13.39%,-14.59%,-3.17%,67.81%,-
Investments - Total,975,788,771,612,589
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,44,50,38,28,45
State & Municipal Securities,143,146,143,137,139
Mortgage Backed Securities,439,327,278,205,189
Other Securities,25,26,42,46,50
Other Investments,324,239,270,196,166
Investments Growth,23.74%,2.11%,25.96%,3.96%,-
Net Loans,8009,6750,6157,5075,4506
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,1473,1299,1522,1130,989
Consumer & Installment Loans,2,2,2,3,3
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,6634,5537,4724,3985,3554
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,9,10,11,5,4
Loan Loss Allowances Reserves,91,79,79,38,35
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,0,-,-,-,-
Loans - 1 Yr Growth Rate,18.66%,9.63%,21.32%,12.63%,-
Total Deposits FOR CALC PURPOSES,7357,6333,5959,4768,4092
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,38,40,46,34,19
Other Assets Including Intangibles,515,464,474,365,291
Other Assets,300,246,254,197,143
Intangible Assets,216,217,219,168,148
Deferred Charges,-,-,-,-,-
Interest Receivables,46,34,35,21,18
Total Assets,9645,8129,7547,6174,5462
Assets - Total Growth,18.64%,7.71%,22.24%,13.03%,-
Return On Average Assets,1.41%,-,-,-,-
Total Deposits,7357,6333,5959,4768,4092
Demand Deposits,4587,6153,4201,3050,2442
Savings/Time Deposits,2769,1455,1541,1318,1037
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,215,218,399,406
Deposits Growth,16.16%,6.27%,25.00%,16.51%,-
Total Debt,1022,634,647,646,729
ST Debt & Current Portion LT Debt,833,391,298,400,405
Current Portion of Long Term Debt,830,391,298,400,405
Short Term Debt,3,-,-,-,-
Long-Term Debt,189,243,349,246,324
LT Debt excl. Capitalized Leases,181,231,331,229,324
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,3,-,-,-,-
Long Term Debt Growth,-22.10%,-30.38%,42.11%,-24.09%,-
Total Assets FOR CALCULATION PURPOSES ONLY,9645,8129,7547,6174,5462
Total Debt / Total Assets,10.60%,7.79%,8.57%,10.46%,13.34%
Deferred Tax Liabilities,-,-,-,-,-
Deferred Taxes - Credit,-,-,-,-,-
Deferred Taxes - Debit,-,-,-,-,-
Other Liabilities,84,39,26,30,28
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,84,39,26,30,28
Deferred Income,-,-,-,-,-
Total Liabilities,8466,7005,6632,5443,4848
Total Liabilities Growth,20.85%,5.63%,21.85%,12.27%,-
Preferred Stock Carrying Value,111,111,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,111,111,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,1068,1013,915,731,614
Common Stock Par/Carry Value,587,587,587,469,413
Additional Paid-In Capital/Capital Surplus,30,27,24,21,16
Retained Earnings,536,440,332,272,211
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,62,0,8,3,6
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,29,1,5,4,3
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,53,40,30,29,17
Common Equity / Total Assets,0.11%,0.12%,0.12%,0.12%,0.11%
Total Shareholders Equity,1179,1124,915,731,614
Total Shareholders Equity / Total Assets,12.22%,13.83%,12.13%,11.84%,11.24%
Return On Average Total Equity,10.85%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,1179,1124,915,731,614
Liabilities & Shareholders Equity,9645,8129,7547,6174,5462
