Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,214,271,257,283,219
Cash & Due from Banks Growth,-21.21%,5.75%,-9.38%,29.07%,-
Investments - Total,2724,2920,2541,2298,2227
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,8,-,-,-,-
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,183,105,89,70,76
Mortgage Backed Securities,1886,2385,2190,1642,1767
Other Securities,209,234,70,57,58
Other Investments,439,196,192,529,327
Investments Growth,-6.70%,14.90%,10.61%,3.16%,-
Net Loans,15241,13812,13356,12182,12006
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,5110,4209,4158,2719,2325
Consumer & Installment Loans,33,59,51,889,1051
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,10261,9686,9354,8665,8722
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,3,0
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,162,141,207,94,93
Investment in Unconsolidated Subs.,48,58,69,83,92
Customer Liability on Acceptances,1,2,1,1,2
Real Estate Other Than Bank Premises,2,3,20,24,8
Loans - 1 Yr Growth Rate,10.35%,3.41%,9.64%,1.47%,-
Total Deposits FOR CALC PURPOSES,15739,15040,14334,12527,12156
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,102,98,96,111,54
Other Assets Including Intangibles,626,633,658,624,615
Other Assets,156,161,184,148,136
Intangible Assets,470,472,474,476,479
Deferred Charges,-,-,-,-,-
Interest Receivables,55,42,59,31,32
Total Assets,19164,17929,17161,15689,15326
Assets - Total Growth,6.89%,4.48%,9.38%,2.37%,-
Return On Average Assets,1.18%,-,-,-,-
Total Deposits,15739,15040,14334,12527,12156
Demand Deposits,10465,11931,10047,7094,6059
Savings/Time Deposits,5274,3110,4287,2261,2089
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,4.64%,4.93%,14.42%,3.06%,-
Total Debt,1248,679,611,988,1118
ST Debt & Current Portion LT Debt,880,314,164,349,345
Current Portion of Long Term Debt,-,-,150,335,345
Short Term Debt,880,314,14,14,-
Long-Term Debt,368,365,446,639,773
LT Debt excl. Capitalized Leases,324,322,409,592,773
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,12,11,16,29,47
Long Term Debt Growth,0.77%,-18.22%,-30.11%,-17.37%,-
Total Assets FOR CALCULATION PURPOSES ONLY,19164,17929,17161,15689,15326
Total Debt / Total Assets,6.51%,3.79%,3.56%,6.30%,7.29%
Deferred Tax Liabilities,150,50,48,32,51
Deferred Taxes - Credit,-,40,54,22,20
Deferred Taxes - Debit,150,90,102,53,71
Other Liabilities,147,66,92,87,82
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,147,66,92,87,82
Deferred Income,-,-,-,-,-
Total Liabilities,17145,15836,15107,13653,13423
Total Liabilities Growth,8.26%,4.83%,10.65%,1.72%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,2019,2093,2054,2036,1903
Common Stock Par/Carry Value,0,0,0,0,0
Additional Paid-In Capital/Capital Surplus,1431,1422,1435,1428,1423
Retained Earnings,1084,933,786,762,662
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,-,-,-,-,-
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,231,11,33,9,33
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,265,250,200,164,150
Common Equity / Total Assets,0.11%,0.12%,0.12%,0.13%,0.12%
Total Shareholders Equity,2019,2093,2054,2036,1903
Total Shareholders Equity / Total Assets,10.54%,11.67%,11.97%,12.98%,12.42%
Return On Average Total Equity,10.62%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,2019,2093,2054,2036,1903
Liabilities & Shareholders Equity,19164,17929,17161,15689,15326
