Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,1647,3045,1353,591,778
Cash & Due from Banks Growth,-45.90%,125.06%,128.90%,-24.03%,-
Investments - Total,4550,5160,5543,4206,3504
Trading Account Securities,755,648,694,690,745
Federal Funds Sold & Securities Purchased,119,119,81,59,62
Federal Funds Sold,1,0,0,0,0
Securities Bought Under Resale Agreement,118,118,80,59,62
Treasury Securities,19,15,-,110,146
Federal Agency Securities,202,44,83,-,-
State & Municipal Securities,115,114,118,110,103
Mortgage Backed Securities,2198,2226,1573,1078,925
Other Securities,58,54,64,0,109
Other Investments,1084,1941,2930,2159,1414
Investments Growth,-11.83%,-6.91%,31.78%,20.03%,-
Net Loans,7997,7789,7544,7320,6871
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,1640,1875,2628,2026,1508
Consumer & Installment Loans,28,32,36,47,48
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,5994,5239,4593,4732,1856
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,431,733,437,577,578
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,95,91,149,61,59
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,2,3,21,18,28
Loans - 1 Yr Growth Rate,2.68%,3.24%,3.06%,6.54%,-
Total Deposits FOR CALC PURPOSES,11316,12818,11242,9032,8536
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,287,317,317,325,237
Other Assets Including Intangibles,1718,2346,2152,2679,2233
Other Assets,1439,2063,1864,2385,1904
Intangible Assets,279,283,288,294,329
Deferred Charges,21,27,27,26,27
Interest Receivables,-,-,-,-,-
Total Assets,16334,18768,17054,15238,13732
Assets - Total Growth,-12.97%,10.05%,11.92%,10.97%,-
Return On Average Assets,0.64%,-,-,-,-
Total Deposits,11316,12818,11242,9032,8536
Demand Deposits,10139,11494,9135,7297,7043
Savings/Time Deposits,1177,1324,2107,1735,1493
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,-11.72%,14.02%,24.47%,5.81%,-
Total Debt,1447,1382,1279,1873,1362
ST Debt & Current Portion LT Debt,984,929,772,1424,1066
Current Portion of Long Term Debt,0,43,40,-,-
Short Term Debt,983,886,732,1424,1066
Long-Term Debt,463,453,507,449,296
LT Debt excl. Capitalized Leases,347,346,413,323,296
Capitalized Lease Obligations,3,3,5,-,-
Provision for Risks & Charges,8,6,-,-,21
Long Term Debt Growth,2.15%,-10.55%,12.93%,51.71%,-
Total Assets FOR CALCULATION PURPOSES ONLY,16334,18768,17054,15238,13732
Total Debt / Total Assets,8.86%,7.37%,7.50%,12.29%,9.92%
Deferred Tax Liabilities,58,30,14,33,32
Deferred Taxes - Credit,74,79,110,66,49
Deferred Taxes - Debit,132,109,124,99,81
Other Liabilities,1425,1933,2076,2139,1791
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,1425,1933,2076,2139,1791
Deferred Income,-,-,-,-,-
Total Liabilities,14270,16219,14707,13109,11758
Total Liabilities Growth,-12.02%,10.28%,12.19%,11.49%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,2037,2523,2324,2103,1949
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid-In Capital/Capital Surplus,1046,1274,1318,1445,1490
Retained Earnings,1124,1257,987,645,467
ESOP Debt Guarantee,1,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,134,10,18,11,9
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,0,1,1,1,1
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.12%,0.13%,0.14%,0.14%,0.14%
Total Shareholders Equity,2037,2523,2324,2103,1949
Total Shareholders Equity / Total Assets,12.47%,13.44%,13.63%,13.80%,14.20%
Return On Average Total Equity,4.96%,-,-,-,-
Accumulated Minority Interest,27,27,27,26,24
Total Equity,2064,2549,2351,2129,1974
Liabilities & Shareholders Equity,16334,18768,17058,15238,13732
