Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,83,62,43,58,61
Cash & Due from Banks Growth,32.44%,44.29%,025.38%,04.97%,0
Investments 0 Total,1727,2100,896,683,587
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,85,899,275,192,138
Federal Funds Sold,85,899,275,192,138
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,333,123,138,260,261
Federal Agency Securities,171,135,0,0,0
State & Municipal Securities,128,75,11,17,30
Mortgage Backed Securities,981,847,438,194,146
Other Securities,6,1,0,0,0
Other Investments,24,21,34,20,12
Investments Growth,017.78%,134.52%,31.19%,16.27%,0
Net Loans,5132,4115,3480,2818,2523
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1250,1108,1353,839,834
Consumer & Installment Loans,160,121,55,57,48
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,3783,2927,2109,1933,1667
Lease Financing Loans,13,14,15,16,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,74,54,52,27,26
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,7,0,0,1
Loans 0 1 Yr Growth Rate,24.71%,18.27%,23.47%,11.72%,0
Total Deposits FOR CALC PURPOSES,6391,5788,3989,3134,2794
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,102,77,58,59,45
Other Assets Including Intangibles,376,246,96,83,68
Other Assets,157,104,82,69,66
Intangible Assets,219,141,14,15,2
Deferred Charges,6,4,3,3,3
Interest Receivables,22,14,13,9,8
Total Assets,7517,6655,4618,3731,3306
Assets 0 Total Growth,12.94%,44.10%,23.78%,12.86%,0
Return On Average Assets,1.31%,0,0,0,0
Total Deposits,6391,5788,3989,3134,2794
Demand Deposits,5383,4938,3387,2532,2293
Savings/Time Deposits,1008,849,601,602,502
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,10.43%,45.10%,27.27%,12.15%,0
Total Debt,239,102,105,137,95
ST Debt & Current Portion LT Debt,146,88,74,45,76
Current Portion of Long Term Debt,0,0,12,0,30
Short Term Debt,146,88,62,45,46
Long0Term Debt,94,14,31,92,18
LT Debt excl. Capitalized Leases,76,0,19,80,18
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,2,13,13,12,0
Long Term Debt Growth,581.70%,055.40%,066.56%,408.10%,0
Total Assets FOR CALCULATION PURPOSES ONLY,7517,6655,4618,3731,3306
Total Debt / Total Assets,3.19%,1.54%,2.26%,3.67%,2.86%
Deferred Tax Liabilities,54,24,22,14,10
Deferred Taxes 0 Credit,20,9,10,7,3
Deferred Taxes 0 Debit,74,33,32,21,13
Other Liabilities,103,67,62,35,47
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,103,67,62,35,47
Deferred Income,0,0,0,0,0
Total Liabilities,6756,5979,4178,3325,2939
Total Liabilities Growth,12.99%,43.12%,25.66%,13.11%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,760,676,441,406,367
Common Stock Par/Carry Value,58,50,37,36,37
Additional Paid0In Capital/Capital Surplus,378,243,42,36,37
Retained Earnings,440,391,354,334,298
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,116,8,9,1,5
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,0,0,1,0,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.10%,0.10%,0.10%,0.11%,0.11%
Total Shareholders Equity,760,676,441,406,367
Total Shareholders Equity / Total Assets,10.12%,10.16%,9.54%,10.89%,11.09%
Return On Average Total Equity,12.95%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,760,676,441,406,367
Liabilities & Shareholders Equity,7517,6655,4618,3731,3306
