Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,21,19,17,16,10
Cash & Due from Banks Growth,8.48%,10.20%,10.58%,50.05%,0
Investments 0 Total,990,1169,603,450,406
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,93,88,0,0,0
Federal Agency Securities,21,18,1,0,0
State & Municipal Securities,241,250,62,5,4
Mortgage Backed Securities,513,534,313,339,346
Other Securities,30,48,4,3,3
Other Investments,92,230,222,103,53
Investments Growth,015.28%,93.86%,33.89%,10.94%,0
Net Loans,1721,1325,1047,962,774
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,224,154,213,114,74
Consumer & Installment Loans,18,19,22,23,24
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,1495,1165,825,831,515
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,1
Loan Loss Allowances Reserves,16,13,12,7,7
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,0,1,1,2
Loans 0 1 Yr Growth Rate,29.88%,26.51%,8.88%,24.24%,0
Total Deposits FOR CALC PURPOSES,2491,2375,1445,1294,1085
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,43,44,33,33,29
Other Assets Including Intangibles,133,131,63,52,27
Other Assets,78,71,45,32,27
Intangible Assets,55,60,18,20,1
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,2940,2695,1767,1517,1253
Assets 0 Total Growth,9.11%,52.51%,16.49%,21.06%,0
Return On Average Assets,0.69%,0,0,0,0
