Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,624,433,532,536,468
Cash & Due from Banks Growth,44.16%,-18.57%,-0.79%,14.39%,-
Investments - Total,12380,15076,13314,8158,4995
Trading Account Securities,8,8,11,7,3
Federal Funds Sold & Securities Purchased,38,72,114,77,14
Federal Funds Sold,38,72,114,77,14
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,472,118,20,20,122
Federal Agency Securities,704,994,1333,673,1227
State & Municipal Securities,-,-,-,2,-
Mortgage Backed Securities,8494,9274,6589,5609,2626
Other Securities,9,533,21,474,17
Other Investments,2655,4077,5227,1295,987
Investments Growth,-17.88%,13.23%,63.21%,63.30%,-
Net Loans,43273,38884,37647,36881,25696
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,13874,12052,12575,10253,7450
Consumer & Installment Loans,2028,2418,1355,2665,2175
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,27425,24841,24401,24270,16346
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,78,25,24
Loan Loss Allowances Reserves,443,428,606,281,251
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,-,12,2,14,6
Loans - 1 Yr Growth Rate,11.29%,3.29%,2.08%,43.53%,-
Total Deposits FOR CALC PURPOSES,48872,49427,46692,38406,26720
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,792,819,844,869,434
Other Assets Including Intangibles,1841,1779,1746,1512,827
Other Assets,1361,1291,1249,959,760
Intangible Assets,480,488,498,553,67
Deferred Charges,48,43,45,42,38
Interest Receivables,226,146,178,128,89
Total Assets,59911,57473,54631,48410,32714
Assets - Total Growth,4.24%,5.20%,12.85%,47.98%,-
Return On Average Assets,1.29%,-,-,-,-
Total Deposits,48872,49427,46692,38406,26720
Demand Deposits,32817,36476,31598,27137,20551
Savings/Time Deposits,4120,3832,4762,7838,4621
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,11935,9120,10331,3430,1548
Deposits Growth,-1.12%,5.86%,21.58%,43.73%,-
Total Debt,4860,1468,1438,4457,2545
ST Debt & Current Portion LT Debt,1441,641,280,2549,940
Current Portion of Long Term Debt,691,377,44,600,52
Short Term Debt,750,264,236,1949,888
Long-Term Debt,3419,827,1158,1908,1605
LT Debt excl. Capitalized Leases,3419,278,1156,1549,1603
Capitalized Lease Obligations,-,549,2,5,1
Provision for Risks & Charges,58,42,-,-,-
Long Term Debt Growth,313.22%,-28.56%,-39.29%,18.88%,-
Total Assets FOR CALCULATION PURPOSES ONLY,59911,57473,54631,48410,32714
Total Debt / Total Assets,8.11%,2.55%,2.63%,9.21%,7.78%
Deferred Tax Liabilities,595,169,131,65,141
Deferred Taxes - Credit,179,156,237,207,45
Deferred Taxes - Debit,775,325,368,272,186
Other Liabilities,1467,1083,1103,399,270
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,1467,1083,1103,399,270
Deferred Income,-,-,-,-,-
Total Liabilities,55435,52176,49470,43469,29581
Total Liabilities Growth,6.25%,5.47%,13.81%,46.95%,-
Preferred Stock Carrying Value,537,537,537,537,195
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,537,537,537,537,195
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,3939,4760,4624,4405,2938
Common Stock Par/Carry Value,170,169,168,167,143
Additional Paid-In Capital/Capital Surplus,3920,3894,3851,3819,3061
Retained Earnings,2235,1710,1178,1068,844
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,1220,68,106,84,83
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,222,14,53,18,11
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,944,931,732,716,1015
Common Equity / Total Assets,0.07%,0.08%,0.08%,0.09%,0.09%
Total Shareholders Equity,4476,5297,5161,4942,3134
Total Shareholders Equity / Total Assets,7.47%,9.22%,9.45%,10.21%,9.58%
Return On Average Total Equity,15.51%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,4476,5297,5161,4942,3134
Liabilities & Shareholders Equity,59911,57473,54631,48410,32714
