Fiscal year is July0June. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,"1,575","1,038","1,951",857,623
Cash & Due from Banks Growth,51.74%,046.79%,127.53%,37.66%,0
Investments 0 Total,640,873,536,433,237
Trading Account Securities,2,2,0,0,0
Federal Funds Sold & Securities Purchased,339,619,222,145,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,339,619,222,145,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,0,0,2,2,0
State & Municipal Securities,3,4,10,21,20
Mortgage Backed Securities,212,92,35,23,30
Other Securities,47,92,140,182,130
Other Investments,37,64,126,60,56
Investments Growth,026.67%,62.70%,23.99%,82.75%,0
Net Loans,"14,091","11,415","10,631","9,382","8,432"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"2,039","1,124","2,094","1,746","1,651"
Consumer & Installment Loans,567,362,291,291,214
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"11,647","10,010","8,076","7,376","6,635"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,58,242,36,19
Unearned Income,(14),(7),(4),(10),(36)
Loan Loss Allowances (Reserves),(149),(133),(76),(57),(49)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,7,6,7,10
Loans 0 1 Yr Growth Rate,23.45%,7.37%,13.31%,11.26%,0
Total Deposits FOR CALC PURPOSES,"13,946","10,816","11,337","8,983","7,985"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",105,90,104,33,21
Other Assets (Including Intangibles),923,789,592,484,172
Other Assets,767,673,466,349,104
Intangible Assets,156,116,125,135,68
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,27
Total Assets,"17,436","14,280","13,868","11,235","9,545"
Assets 0 Total Growth,22.10%,2.97%,23.44%,17.70%,0
Return On Average Assets,1.52%,0,0,0,0
