Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,453,173,268,235,284
Cash & Due from Banks Growth,162.61%,035.62%,14.24%,017.34%,0
Investments 0 Total,"11,071","8,546","6,835","5,817","4,884"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,201,236,10,18,79
Federal Agency Securities,"1,994","1,543",842,593,628
State & Municipal Securities,"1,827","1,655","1,492","1,276","1,246"
Mortgage Backed Securities,"5,477","3,699","3,339","3,184","2,336"
Other Securities,416,263,289,322,346
Other Investments,"1,155","1,151",862,425,248
Investments Growth,29.53%,25.04%,17.50%,19.11%,0
Net Loans,"30,820","13,495","13,655","12,063","12,188"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"9,111","3,526","4,096","2,843","3,173"
Consumer & Installment Loans,"1,663","1,014","1,079","1,167","1,214"
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"7,494","9,037","8,580","8,060","7,797"
Lease Financing Loans,188,25,32,47,60
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(304),(107),(131),(55),(55)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,11,2,1,2,3
Loans 0 1 Yr Growth Rate,128.39%,01.18%,13.20%,01.03%,0
Total Deposits FOR CALC PURPOSES,"35,001","18,569","17,037","14,553","14,350"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",747,546,541,586,486
Other Assets (Including Intangibles),"3,035","1,575","1,566","1,655","1,681"
Other Assets,910,504,483,558,567
Intangible Assets,"2,125","1,072","1,083","1,097","1,113"
Deferred Charges,0,0,0,0,0
Interest Receivables,191,84,85,85,89
Total Assets,"46,849","24,454","23,065","20,492","19,764"
Assets 0 Total Growth,91.58%,6.02%,12.56%,3.68%,0
Return On Average Assets,1.20%,0,0,0,0
