Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,30334,29222,36430,30152,29063
Cash & Due from Banks Growth,3.81%,-19.79%,20.82%,3.75%,-
Investments - Total,1690063,1870928,1606972,1175852,1136059
Trading Account Securities,296108,247080,198854,229826,214348
Federal Funds Sold & Securities Purchased,267574,250720,304058,274597,261131
Federal Funds Sold,267574,250720,304058,274597,261131
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,159022,199145,116380,68528,54923
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,665281,744460,522858,358997,347003
Other Securities,39437,39801,46621,45746,39827
Other Investments,262641,389722,418201,198158,218827
Investments Growth,-9.67%,16.43%,36.66%,3.50%,-
Net Loans,1033065,966737,909059,974010,937294
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,381473,352320,331143,330122,317509
Consumer & Installment Loans,200152,185806,170930,189392,190388
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,325999,312907,318230,339066,317688
Lease Financing Loans,13644,14825,17098,19880,22534
Foreign Loans,124479,113266,90460,104966,98776
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,12682,12387,18802,9416,9601
Investment in Unconsolidated Subs.,9594,12144,15718,14018,17739
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,121,101,123,229,244
Loans - 1 Yr Growth Rate,6.86%,6.34%,-6.67%,3.92%,-
Total Deposits FOR CALC PURPOSES,1930341,2064446,1795480,1434803,1381476
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,21265,21066,21000,20261,9906
Other Assets Including Intangibles,253588,260144,222878,213113,213461
Other Assets,182466,188922,151727,142462,142710
Intangible Assets,71122,71222,71151,70651,70751
Deferred Charges,-,-,-,-,-
Interest Receivables,-,-,-,-,-
Total Assets,3051375,3180948,2832182,2444325,2361361
Assets - Total Growth,-4.07%,12.31%,15.87%,3.51%,-
Return On Average Assets,0.88%,-,-,-,-
Total Deposits,1930341,2064446,1795480,1434803,1381476
Demand Deposits,640745,784189,650674,403305,412587
Savings/Time Deposits,1182590,1165914,1038341,940731,891636
Foreign Office Deposits,107006,114343,106465,90767,77253
Unspecified Deposits,-,-,-,-,-
Deposits Growth,-6.50%,14.98%,25.14%,3.86%,-
Total Debt,508908,507057,463052,440262,436569
ST Debt & Current Portion LT Debt,240856,229904,211923,215430,245152
Current Portion of Long Term Debt,16291,11905,20352,24151,37975
Short Term Debt,224565,217999,191571,191279,207177
Long-Term Debt,268052,277153,251129,224832,191417
LT Debt excl. Capitalized Leases,259691,268212,242582,216705,191417
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,1540,1456,1878,813,797
Long Term Debt Growth,-3.28%,10.36%,11.70%,17.46%,-
Total Assets FOR CALCULATION PURPOSES ONLY,3051375,3180948,2832182,2444325,2361361
Total Debt / Total Assets,16.68%,15.94%,16.35%,18.01%,18.49%
Deferred Tax Liabilities,13345,9153,7447,6444,10741
Deferred Taxes - Credit,-,11453,12555,10246,6854
Deferred Taxes - Debit,13345,20606,20002,16690,17595
Other Liabilities,337389,326470,286293,293391,270340
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,337389,326470,286293,293391,270340
Deferred Income,-,-,-,-,-
Total Liabilities,2778178,2910882,2559258,2179515,2096036
Total Liabilities Growth,-4.56%,13.74%,17.42%,3.98%,-
Preferred Stock Carrying Value,28397,24708,24510,23401,22326
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,28397,24708,24510,23401,22326
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,244800,245358,248414,241409,242999
Common Stock Par/Carry Value,58953,62398,85982,91723,118896
Additional Paid-In Capital/Capital Surplus,-,-,-,-,-
Retained Earnings,207003,188064,164088,156319,136314
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,1048,991,946,894,808
Unrealized Gain/Loss Marketable Securities,2983,3045,5122,323,5552
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,17125,7158,5832,6062,5851
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.08%,0.08%,0.09%,0.10%,0.10%
Total Shareholders Equity,273197,270066,272924,264810,265325
Total Shareholders Equity / Total Assets,8.95%,8.49%,9.64%,10.83%,11.24%
Return On Average Total Equity,10.13%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,273197,270066,272924,264810,265325
Liabilities & Shareholders Equity,3051375,3180948,2832182,2444325,2361361
