Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,5,3,3,3,7
Cash & Due from Banks Growth,58.76%,8.58%,11.62%,063.51%,0
Investments 0 Total,134,149,95,113,112
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,1
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,0,1,1,0,0
Mortgage Backed Securities,59,67,17,17,20
Other Securities,25,27,32,32,18
Other Investments,50,55,46,65,72
Investments Growth,09.95%,56.81%,015.77%,1.10%,0
Net Loans,838,730,720,802,773
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,139,123,144,174,192
Consumer & Installment Loans,141,59,68,86,95
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,568,557,518,552,494
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(10),(10),(11),(10),(8)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,2,2,3
Loans 0 1 Yr Growth Rate,14.86%,1.39%,010.28%,3.79%,0
Total Deposits FOR CALC PURPOSES,860,749,686,770,743
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",33,34,36,38,35
Other Assets (Including Intangibles),10,10,7,7,7
Other Assets,9,9,5,6,5
Intangible Assets,1,1,1,2,2
Deferred Charges,0,0,0,0,0
Interest Receivables,7,6,7,4,4
Total Assets,"1,044",949,881,980,952
Assets 0 Total Growth,10.02%,7.77%,010.11%,2.96%,0
Return On Average Assets,0.62%,0,0,0,0
