Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,145,109,91,105,101
Cash & Due from Banks Growth,32.91%,19.88%,013.49%,4.43%,0
Investments 0 Total,2632,4153,3868,2361,2039
Trading Account Securities,7,8,10,11,11
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,12,0,0,0,0
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,330,359,344,363,376
Mortgage Backed Securities,1621,2029,1699,1130,1249
Other Securities,56,142,136,218,205
Other Investments,606,1615,1679,639,197
Investments Growth,036.62%,7.37%,63.81%,15.82%,0
Net Loans,8239,6720,7954,9439,8982
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1445,1284,1943,1841,1980
Consumer & Installment Loans,12,196,303,562,720
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,6616,5345,5835,7100,6343
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,96,106,127,64,61
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,22.61%,015.52%,015.73%,5.09%,0
Total Deposits FOR CALC PURPOSES,10327,10069,10216,10336,8982
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,132,147,173,198,108
Other Assets Including Intangibles,350,340,659,1025,903
Other Assets,325,311,624,426,351
Intangible Assets,24,30,35,599,552
Deferred Charges,0,0,0,0,0
Interest Receivables,47,34,47,36,37
Total Assets,11678,11572,12872,13263,12233
Assets 0 Total Growth,0.92%,010.10%,02.95%,8.42%,0
Return On Average Assets,0.80%,0,0,0,0
Total Deposits,10327,10069,10216,10336,8982
Demand Deposits,7630,7278,6859,5905,4971
Savings/Time Deposits,2697,2791,3357,4431,4012
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,2.57%,01.44%,01.16%,15.07%,0
Total Debt,189,176,646,919,1534
ST Debt & Current Portion LT Debt,11,15,407,435,1119
Current Portion of Long Term Debt,1,5,356,296,0
Short Term Debt,10,10,51,139,1119
Long0Term Debt,178,162,239,484,416
LT Debt excl. Capitalized Leases,126,107,176,408,399
Capitalized Lease Obligations,8,9,9,10,11
Provision for Risks & Charges,45,45,39,45,27
Long Term Debt Growth,10.03%,032.27%,050.75%,16.54%,0
Total Assets FOR CALCULATION PURPOSES ONLY,11678,11572,12872,13263,12233
Total Debt / Total Assets,1.61%,1.52%,5.02%,6.93%,12.54%
Deferred Tax Liabilities,118,53,46,51,42
Deferred Taxes 0 Credit,15,17,34,47,21
Deferred Taxes 0 Debit,134,70,81,99,63
Other Liabilities,148,82,750,157,115
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,148,82,750,157,115
Deferred Income,0,0,0,0,0
Total Liabilities,10724,10390,11685,11505,10680
Total Liabilities Growth,3.22%,011.08%,1.56%,7.72%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,954,1182,1188,1759,1553
Common Stock Par/Carry Value,1,1,1,41,41
Additional Paid0In Capital/Capital Surplus,1424,1423,1427,1422,1245
Retained Earnings,71,139,233,361,309
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,176,1,33,14,11
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,14,11,9,11,9
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,210,90,31,70,22
Common Equity / Total Assets,0.08%,0.10%,0.09%,0.13%,0.13%
Total Shareholders Equity,954,1182,1188,1759,1553
Total Shareholders Equity / Total Assets,8.17%,10.22%,9.23%,13.26%,12.69%
Return On Average Total Equity,8.66%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,954,1182,1188,1759,1553
Liabilities & Shareholders Equity,11678,11572,12872,13263,12233
