Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,121,239,87,90,92
Cash & Due from Banks Growth,049.42%,175.60%,03.58%,02.60%,0
Investments 0 Total,2761,2858,2011,1317,1318
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,14,7,9,10,7
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,28,33,35,32,39
Mortgage Backed Securities,2252,1950,1336,928,968
Other Securities,325,293,202,238,209
Other Investments,141,575,429,109,95
Investments Growth,03.40%,42.09%,52.66%,00.07%,0
Net Loans,8031,5842,5643,5163,4793
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1353,1069,855,778,722
Consumer & Installment Loans,287,174,187,207,202
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,6505,4590,4125,4212,3900
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,91,568,1,1
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,114,83,93,35,32
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,2,14,13,12,13
Loans 0 1 Yr Growth Rate,37.47%,3.53%,9.28%,7.73%,0
Total Deposits FOR CALC PURPOSES,9982,8068,6933,5585,5177
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,164,108,101,93,71
Other Assets Including Intangibles,936,576,436,416,432
Other Assets,384,310,200,193,202
Intangible Assets,552,265,236,224,230
Deferred Charges,0,0,0,0,0
Interest Receivables,37,19,29,0,0
Total Assets,12183,9698,8360,7122,6756
Assets 0 Total Growth,25.62%,16.00%,17.39%,5.42%,0
Return On Average Assets,0.97%,0,0,0,0
Total Deposits,9982,8068,6933,5585,5177
Demand Deposits,8395,6618,3122,2290,2188
Savings/Time Deposits,1587,1450,1520,1704,1420
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,23.72%,16.37%,24.13%,7.87%,0
Total Debt,457,232,220,502,665
ST Debt & Current Portion LT Debt,256,128,125,407,594
Current Portion of Long Term Debt,75,0,0,315,380
Short Term Debt,181,128,125,92,214
Long0Term Debt,201,103,94,96,71
LT Debt excl. Capitalized Leases,160,72,71,71,71
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,94.84%,9.44%,01.15%,34.96%,0
Total Assets FOR CALCULATION PURPOSES ONLY,12183,9698,8360,7122,6756
Total Debt / Total Assets,3.75%,2.39%,2.63%,7.05%,9.85%
Deferred Tax Liabilities,94,27,24,16,29
Deferred Taxes 0 Credit,37,17,18,13,8
Deferred Taxes 0 Debit,132,44,41,30,37
Other Liabilities,99,72,59,36,41
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,99,72,59,36,41
Deferred Income,0,0,0,0,0
Total Liabilities,10575,8387,7230,6136,5891
Total Liabilities Growth,26.09%,16.01%,17.82%,4.16%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,1608,1311,1130,986,864
Common Stock Par/Carry Value,7,6,6,5,5
Additional Paid0In Capital/Capital Surplus,1378,964,856,786,779
Retained Earnings,424,359,257,196,97
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,0,0,0,0,0
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,188,7,20,4,13
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,13,11,8,6,3
Common Equity / Total Assets,0.13%,0.14%,0.14%,0.14%,0.13%
Total Shareholders Equity,1608,1311,1130,986,864
Total Shareholders Equity / Total Assets,13.20%,13.52%,13.52%,13.84%,12.79%
Return On Average Total Equity,7.30%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,1608,1311,1130,986,864
Liabilities & Shareholders Equity,12183,9698,8360,7122,6756
