Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,51,47,54,59,65
Cash & Due from Banks Growth,10.20%,014.18%,07.55%,09.21%,0
Investments 0 Total,1348,1739,1322,825,698
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,1
Federal Funds Sold,0,0,0,0,1
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,382,296,149,171,218
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,265,334,140,103,125
Mortgage Backed Securities,520,731,652,295,251
Other Securities,91,97,59,33,2
Other Investments,89,281,322,223,102
Investments Growth,022.49%,31.51%,60.24%,18.15%,0
Net Loans,3663,3367,3506,3214,3173
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,312,338,533,390,377
Consumer & Installment Loans,895,778,772,675,678
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2424,2224,2180,2183,2152
Lease Financing Loans,0,0,0,0,2
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,46,42,48,35,36
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,4,3,8,19,27
Loans 0 1 Yr Growth Rate,8.80%,03.97%,9.11%,1.29%,0
Total Deposits FOR CALC PURPOSES,4426,4344,4016,3406,3306
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,60,53,55,59,45
Other Assets Including Intangibles,195,194,178,176,193
Other Assets,130,129,112,110,128
Intangible Assets,65,65,65,65,65
Deferred Charges,0,0,0,0,0
Interest Receivables,20,15,16,15,0
Total Assets,5406,5441,5162,4386,4214
Assets 0 Total Growth,00.64%,5.41%,17.69%,4.07%,0
Return On Average Assets,1.51%,0,0,0,0
