Fiscal year is January0December. All values USD Thousands.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,"4,348.0","3,635.0","1,625.0","1,473.0","1,345.0"
Cash & Due from Banks Growth,19.61%,123.69%,10.32%,9.52%,0
Investments 0 Total,"114,720.0","203,253.0","525,152.0","81,440.0","73,717.0"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,"1,415.0","2,112.0",0,0
Federal Funds Sold,"3,911.0","1,415.0","2,112.0",0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,"43,661.0","3,512.0",391.0,436.0,967.0
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,"5,752.0","6,419.0","2,971.0","2,117.0","13,066.0"
Mortgage Backed Securities,"16,136.0","15,207.0","9,540.0","10,527.0","17,572.0"
Other Securities,"20,386.0","19,874.0","11,116.0","8,576.0","13,147.0"
Other Investments,"24,874.0","156,826.0","499,022.0","59,784.0","28,965.0"
Investments Growth,043.56%,061.30%,544.83%,10.48%,0
Net Loans,"468,955.0","325,203.0","313,811.0","255,032.0","212,696.0"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"56,500.0","54,681.0","90,088.0","11,119.0","4,059.0"
Consumer & Installment Loans,"4,071.0","4,426.0","5,138.0","6,105.0","7,078.0"
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"412,252.0","269,255.0","221,888.0","237,902.0","200,866.0"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,"1,343.0","1,564.0"
Unearned Income,(281.0),(791.0),"(1,286.0)",0,0
Loan Loss Allowances (Reserves),"(3,587.0)","(2,368.0)","(2,017.0)","(1,437.0)",(871.0)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,59.0,0,0,0,0
Loans 0 1 Yr Growth Rate,44.20%,3.63%,23.05%,19.90%,0
Total Deposits FOR CALC PURPOSES,"525,238.0","463,989.0","730,826.0","283,767.0","235,403.0"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment","10,443.0","11,829.0","10,519.0","8,480.0","1,873.0"
Other Assets (Including Intangibles),"13,709.0","12,006.0","9,011.0","7,194.0","6,665.0"
Other Assets,"13,709.0","12,006.0","9,011.0","7,194.0","6,665.0"
Intangible Assets,0,0,0,0,0
Deferred Charges,0,0,0,0,521.0
Interest Receivables,"2,473.0","1,340.0","1,489.0",967.0,940.0
Total Assets,"615,757.0","560,124.0","861,607.0","354,586.0","297,762.0"
Assets 0 Total Growth,9.93%,034.99%,142.99%,19.08%,0
Return On Average Assets,0.38%,0,0,0,0
