Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,195,134,139,177,225
Cash & Due from Banks Growth,45.70%,03.23%,021.79%,021.34%,0
Investments 0 Total,"2,807","3,783","2,674","2,226","1,943"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,271,0,81,75,125
Federal Agency Securities,64,88,100,315,394
State & Municipal Securities,0,0,0,0,0
Mortgage Backed Securities,898,898,737,888,658
Other Securities,263,164,142,201,91
Other Investments,"1,312","2,633","1,613",746,675
Investments Growth,025.79%,41.48%,20.14%,14.55%,0
Net Loans,"18,101","16,202","15,475","14,952","13,872"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"3,319","2,982","2,837","2,779","2,742"
Consumer & Installment Loans,5,4,3,5,4
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"14,931","13,356","12,804","12,292","11,249"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,(7),(4),(2),(1),(2)
Loan Loss Allowances (Reserves),(146),(136),(167),(123),(122)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,2,8,14,11,23
Real Estate Other Than Bank Premises,4,4,5,10,13
Loans 0 1 Yr Growth Rate,11.72%,4.70%,3.50%,7.78%,0
Total Deposits FOR CALC PURPOSES,"18,505","18,059","16,109","14,692","13,702"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",124,127,134,138,103
Other Assets (Including Intangibles),530,513,480,470,479
Other Assets,148,136,102,91,99
Intangible Assets,381,377,378,378,379
Deferred Charges,0,0,0,0,0
Interest Receivables,82,57,59,54,52
Total Assets,"21,967","20,908","19,070","18,116","16,799"
Assets 0 Total Growth,5.06%,9.64%,5.27%,7.85%,0
Return On Average Assets,1.68%,0,0,0,0
