Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,138,91,75,76,64
Cash & Due from Banks Growth,52.26%,20.96%,01.76%,20.29%,0
Investments 0 Total,"1,242","1,513","1,231",771,849
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,8,1,1,1,1
Federal Funds Sold,8,1,1,1,1
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,221,209,132,177,268
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,288,395,250,178,193
Mortgage Backed Securities,628,791,491,396,299
Other Securities,86,34,11,4,2
Other Investments,12,82,345,14,86
Investments Growth,017.87%,22.85%,59.77%,09.19%,0
Net Loans,"4,767","3,938","3,095","2,667","2,617"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"1,411","1,129",997,792,809
Consumer & Installment Loans,98,79,78,84,93
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"3,327","2,790","2,069","1,824","1,756"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,(9),(2),(6),(4),(14)
Loan Loss Allowances (Reserves),(59),(55),(42),(27),(26)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,4,5,2,4,3
Loans 0 1 Yr Growth Rate,21.04%,27.26%,16.05%,1.90%,0
Total Deposits FOR CALC PURPOSES,"5,257","4,956","3,693","2,917","2,989"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",106,97,75,76,59
Other Assets (Including Intangibles),386,316,228,230,231
Other Assets,216,175,101,98,94
Intangible Assets,170,141,128,132,137
Deferred Charges,0,0,0,0,0
Interest Receivables,28,20,19,16,17
Total Assets,"6,757","5,999","4,745","3,853","3,854"
Assets 0 Total Growth,12.64%,26.42%,23.16%,00.01%,0
Return On Average Assets,1.14%,0,0,0,0
