Fiscal year is January-December. All values USD Thousands.,2022,2021,2020,2019,
Total Cash & Due from Banks,6897.0,5651.0,5968.2,3828.9,-
Cash & Due from Banks Growth,22.05%,-5.31%,55.87%,0.00%,-
Investments - Total,141870.0,123738.0,65437.7,72648.7,-
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,16264.0,2105.0,1701.0,-
Federal Funds Sold,2030.0,16264.0,2105.0,1701.0,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,14555.0,12994.0,-,-,-
State & Municipal Securities,15791.0,13944.0,6825.0,8661.2,-
Mortgage Backed Securities,99819.0,61138.0,40469.2,41232.9,-
Other Securities,4815.0,2406.0,-,-,-
Other Investments,4860.0,16992.0,16038.5,21053.6,-
Investments Growth,14.65%,89.09%,-9.93%,0.00%,-
Net Loans,251338.0,220267.0,213271.2,177251.9,-
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,6345.0,6375.0,9022.8,4699.6,-
Consumer & Installment Loans,5585.0,5538.0,4148.8,4352.0,-
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,56329.0,209946.0,201660.7,169303.9,-
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,1755.0,1592.0,1561.1,1103.6,-
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,-,209.0,209.2,-,-
Loans - 1 Yr Growth Rate,14.11%,3.28%,20.32%,0.00%,-
Total Deposits FOR CALC PURPOSES,296077.0,274933.0,235139.9,204224.3,-
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,-
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,-
Net Property Plant & Equipment,6715.0,6687.0,6839.1,6084.1,-
Other Assets Including Intangibles,6895.0,6692.0,6702.8,6755.2,-
Other Assets,6498.0,6163.0,6041.4,5961.5,-
Intangible Assets,397.0,529.0,661.4,793.7,-
Deferred Charges,-,-,-,-,-
Interest Receivables,1327.0,931.0,963.1,837.8,-
Total Assets,417673.0,365080.0,299974.6,267882.9,-
Assets - Total Growth,14.41%,21.70%,11.98%,0.00%,-
Return On Average Assets,0.45%,-,-,-,-
Total Deposits,296077.0,274933.0,235139.9,204224.3,-
Demand Deposits,140073.0,122773.0,100238.3,80790.1,-
Savings/Time Deposits,156004.0,152160.0,134901.6,123434.1,-
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,7.69%,16.92%,15.14%,0.00%,-
Total Debt,62910.0,28043.0,31224.3,31141.9,-
ST Debt & Current Portion LT Debt,14761.0,82.0,75.8,-,-
Current Portion of Long Term Debt,14691.0,12.0,12.1,-,-
Short Term Debt,-,70.0,63.8,-,-
Long-Term Debt,48149.0,27961.0,31148.5,31141.9,-
LT Debt excl. Capitalized Leases,47803.0,27559.0,30756.0,31141.9,-
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,184.0,618.0,-,-,-
Long Term Debt Growth,72.20%,-10.23%,0.02%,0.00%,-
Total Assets FOR CALCULATION PURPOSES ONLY,417673.0,365080.0,299974.6,267882.9,-
Total Debt / Total Assets,15.06%,7.68%,10.41%,11.63%,-
Deferred Tax Liabilities,2304.0,651.0,246.7,152.2,-
Deferred Taxes - Credit,327.0,254.0,336.6,324.1,-
Deferred Taxes - Debit,2631.0,905.0,583.4,476.3,-
Other Liabilities,2305.0,1100.0,1334.6,1138.9,-
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,2305.0,1100.0,1334.6,1138.9,-
Deferred Income,-,-,-,-,-
Total Liabilities,361803.0,304948.0,268035.5,236829.2,-
Total Liabilities Growth,18.64%,13.77%,13.18%,0.00%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,55870.0,60132.0,31939.1,31053.8,-
Common Stock Par/Carry Value,33.0,33.0,-,-,-
Additional Paid-In Capital/Capital Surplus,31099.0,30932.0,-,-,-
Retained Earnings,34083.0,32329.0,31810.8,31061.9,-
ESOP Debt Guarantee,2346.0,2476.0,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,6999.0,686.0,128.3,8.1,-
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,-,-,-,-,-
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.13%,0.16%,0.11%,0.12%,-
Total Shareholders Equity,55870.0,60132.0,31939.1,31053.8,-
Total Shareholders Equity / Total Assets,13.38%,16.47%,10.65%,11.59%,-
Return On Average Total Equity,3.02%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,55870.0,60132.0,31939.1,31053.8,-
Liabilities & Shareholders Equity,417673.0,365080.0,299974.6,267882.9,-
