Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,196,144,149,126,126
Cash & Due from Banks Growth,35.72%,03.12%,18.32%,00.19%,0
Investments 0 Total,6791,7923,5297,3041,3148
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,169,237,128,155,149
Federal Agency Securities,350,257,164,3,26
State & Municipal Securities,600,534,472,272,302
Mortgage Backed Securities,4651,3812,2810,1822,2044
Other Securities,459,812,72,306,382
Other Investments,563,2270,1652,483,245
Investments Growth,014.29%,49.58%,74.18%,03.39%,0
Net Loans,15175,11658,11234,8750,8322
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2252,1910,2499,1221,1278
Consumer & Installment Loans,149,138,146,128,330
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,11559,8629,7862,6719,6211
Lease Financing Loans,1374,1083,864,745,565
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,159,103,137,62,61
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,30.17%,3.77%,28.38%,5.15%,0
Total Deposits FOR CALC PURPOSES,19877,18241,15232,10897,10535
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,338,275,218,236,206
Other Assets Including Intangibles,1307,863,810,696,671
Other Assets,527,390,428,354,347
Intangible Assets,779,472,382,342,324
Deferred Charges,0,0,0,0,0
Interest Receivables,73,43,48,33,35
Total Assets,24079,20988,17794,12956,12596
Assets 0 Total Growth,14.73%,17.95%,37.35%,2.85%,0
Return On Average Assets,1.22%,0,0,0,0
